,(S)-Methylmalonyl-CoA,3-methyl-Octane,3R-4-methyl-3-Hydroxypentanoyl-CoA,4-methyl-Heptanoyl-CoA,4-methyl-Nonanal,4-methyl-Nonanoyl-CoA,4-methyl-Oxoheptanoyl-CoA,4-methyl-Oxononanoyl-CoA,4-methyl-Pent-2-enoyl-CoA,4-methyl-Pentanoyl-CoA,4-methyl-trans-hept-2-enoyl-CoA,4-methyl-trans-non-2-enoyl-CoA,5-4-methyl-Acetoacetyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Propionyl-CoA,Pyruvate,S-4-methyl-Hydroxyheptanoyl-CoA,S-4-methyl-Hydroxynonanoyl-CoA,
,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-2,-1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,-3,0,0,0,0,0,0,-5,0,0,0,0,0,0,1,0,0,,
3*CO2 + 14*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,-3,-1,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,,
ATP + Propionyl-CoA + HCO3- → ADP + Orthophosphate + (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,,
Propionyl-CoA + (S)-Methylmalonyl-CoA → 5-4-methyl-Acetoacetyl-CoA + CO2 + CoA,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
5-4-methyl-Acetoacetyl-CoA + NADPH + Hplus → 3R-4-methyl-3-Hydroxypentanoyl-CoA + NADPplus,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
3R-4-methyl-3-Hydroxypentanoyl-CoA → 4-methyl-Pent-2-enoyl-CoA + H2O,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4-methyl-Pent-2-enoyl-CoA + NADPH + Hplus → 4-methyl-Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
Malonyl-CoA + 4-methyl-Pentanoyl-CoA → CoA + CO2 + 4-methyl-Oxoheptanoyl-CoA,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,
4-methyl-Oxoheptanoyl-CoA + NADH + Hplus → S-4-methyl-Hydroxyheptanoyl-CoA + NADplus,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,1,0,,
S-4-methyl-Hydroxyheptanoyl-CoA → 4-methyl-trans-hept-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
4-methyl-trans-hept-2-enoyl-CoA + NADPH + Hplus → 4-methyl-Heptanoyl-CoA + NADPplus,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
Malonyl-CoA + 4-methyl-Heptanoyl-CoA → CoA + CO2 + 4-methyl-Oxononanoyl-CoA,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,
4-methyl-Oxononanoyl-CoA + NADH + Hplus → S-4-methyl-Hydroxynonanoyl-CoA + NADplus,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,,
S-4-methyl-Hydroxynonanoyl-CoA → 4-methyl-trans-non-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
4-methyl-trans-non-2-enoyl-CoA + NADPH + Hplus → 4-methyl-Nonanoyl-CoA + NADPplus,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
4-methyl-Nonanoyl-CoA + NADH + Hplus → CoA + 4-methyl-Nonanal + NADplus,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,,
4-methyl-Nonanal + Oxygen + 2*NADPH + 2*Hplus → 3-methyl-Octane + Formate + H2O + 2*NADPplus,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0,0,-2,2,0,0,-1,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,,
