scenario,label,effTotalElectricalFuelMassEfficiency,effTotalElectricalFuelMassEfficiency_lowerError,effTotalElectricalFuelMassEfficiency_upperError,
Pinene_CBB_EEU,"Pinene_CBB_EEU",120110.92369663778,18016.638554495657,5459.587440756266
Limonene_CBB_EEU,"Limonene_CBB_EEU",120110.92369663778,18016.638554495657,5459.587440756266
Geraniol_CBB_EEU,"Geraniol_CBB_EEU",106086.95134152306,15913.042701228449,4822.134151887411
Farnesene_CBB_EEU,"Farnesene_CBB_EEU",120110.92369663778,18016.63855449563,5459.587440756266
Bisabolene_CBB_EEU,"Bisabolene_CBB_EEU",120116.80140271543,18017.52021040728,5459.8546092143515
Decane_CBB_EEU,"Decane_CBB_EEU",127955.38479654402,16533.560956856774,5816.153854388365
Undecane_CBB_EEU,"Undecane_CBB_EEU",124980.29585277177,15377.156819581884,5680.92253876233
Dodecane_CBB_EEU,"Dodecane_CBB_EEU",126097.95873074583,16212.594693953055,5731.725396852053
Tridecane_CBB_EEU,"Tridecane_CBB_EEU",123716.85755722383,15256.563151675582,5623.4935253283475
Tetradecane_CBB_EEU,"Tetradecane_CBB_EEU",124765.80854291252,15982.3969621086,5671.173115586949
Pentadecane_CBB_EEU,"Pentadecane_CBB_EEU",122787.1240092288,15167.821201140032,5581.232909510378
Hexadecane_CBB_EEU,"Hexadecane_CBB_EEU",123763.71742778514,15809.233978001765,5625.623519444765
2methylpentane_CBB_EEU,"2methylpentane_CBB_EEU",138850.20687792278,17207.931621622905,6311.373039905593
2methylhexane_CBB_EEU,"2methylhexane_CBB_EEU",129629.29485046167,15820.898190410648,5892.240675021007
2methylheptane_CBB_EEU,"2methylheptane_CBB_EEU",133405.3512879749,16563.751669983496,6063.8796039988665
2methyloctane_CBB_EEU,"2methyloctane_CBB_EEU",126786.51015828976,15549.288981677048,5763.023189013184
3methylpentane_CBB_EEU,"3methylpentane_CBB_EEU",135289.94516310425,17801.30857409266,6149.542961959291
3methylhexane_CBB_EEU,"3methylhexane_CBB_EEU",135753.51350481415,18883.007517586986,6170.614250218772
3methylheptane_CBB_EEU,"3methylheptane_CBB_EEU",130719.33750365324,17011.420634037073,5941.788068347887
3methyloctane_CBB_EEU,"3methyloctane_CBB_EEU",131570.90676803654,17941.48728655043,5980.495762183447
3methylnonane_CBB_EEU,"3methylnonane_CBB_EEU",127950.88819179292,16532.97993489458,5815.949463263285
4methyloctane_CBB_EEU,"4methyloctane_CBB_EEU",131570.90676803654,17941.48728655043,5980.495762183447
4methyldecane_CBB_EEU,"4methyldecane_CBB_EEU",128898.1316035721,17339.08876900839,5859.005981980576
5methylnonane_CBB-EEU,"5methylnonane_CBB-EEU",127950.88819179292,16532.97993489458,5815.949463263285
5methyldecane_CBB_EEU,"5methyldecane_CBB_EEU",128898.1316035721,17339.08876900839,5859.005981980576
2-4dimethylhexane_CBB_EEU,"2-4dimethylhexane_CBB_H2",129823.99957554604,16563.751669983438,5901.090889797531
2-4dimethyloctane_CBB_EEU,"2-4dimethyloctane_CBB_H2",127950.88819179292,16532.97993489458,5815.949463263285
2-4dimethyldecane_CBB_EEU,"2-4dimethyldecane_CBB_H2",126094.25715267,16212.11877677188,5731.557143303144
2-5dimethylheptane_CBB_EEU,"2-5dimethylheptane_CBB_H2",133963.10507290997,17542.787569071515,6089.232048768652
2-5dimethylnonane_CBB_EEU,"2-5dimethylnonane_CBB_H2",130861.04731327113,17011.936150725247,5948.2294233304565
3-5dimethyloctane_CBB_EEU,"3-5dimethyloctane_CBB_H2",132263.83947915674,18689.455578576482,6011.992703598051
3-5dimethyldecane_CBB_EEU,"3-5dimethyldecane_CBB_H2",129696.95021417487,18013.46530752431,5895.315918826134
4-6dimethyldecane_CBB_EEU,"4-6dimethyldecane_CBB_H2",129696.95021417487,18013.46530752431,5895.315918826134
2-4-6trimethyloctane_CBB_EEU,"2-4-6trimethyloctane_CBB_H2",128898.1316035721,17339.08876900839,5859.005981980576
2-4-6-trimethyldecane_CBB_EEU,"2-4-6-trimethyldecane_CBB_H2",127038.67107745896,16919.997676255458,5774.485048975403
2-4-6-8-tetramethyldecane_CBB_EEU,"2-4-6-8-tetramethyldecane_CBB_H2",127849.50843725186,17527.755188978088,5811.341292602374
Pinene_CBB_H2,"Pinene_CBB_H2",113312.1921666394,16996.828824995915,2266.2438433327625
Limonene_CBB_H2,"Limonene_CBB_H2",113312.1921666394,16996.828824995915,2266.2438433327625
Geraniol_CBB_H2,"Geraniol_CBB_H2",100082.02956747459,15012.304435121172,2001.6405913494818
Farnesene_CBB_H2,"Farnesene_CBB_H2",113312.19216663942,16996.828824995915,2266.2438433327916
Bisabolene_CBB_H2,"Bisabolene_CBB_H2",113317.73717237303,16997.66057585599,2266.3547434474604
Decane_CBB_H2,"Decane_CBB_H4",120712.62716655096,15597.699015902646,2079.6932021203684
Undecane_CBB_H2,"Undecane_CBB_H2",117905.93948374697,14506.751716586645,1934.2335622115643
Dodecane_CBB_H2,"Dodecane_CBB_H2",118960.33842523192,15294.900654672703,2039.3200872896996
Tridecane_CBB_H2,"Tridecane_CBB_H2",116714.01656341871,14392.984105354364,1919.064547380578
Tetradecane_CBB_H2,"Tetradecane_CBB_H2",117703.5929650118,15077.732983121328,2010.364397749494
Pentadecane_CBB_H2,"Pentadecane_CBB_H2",115836.9094426687,14309.265284094377,1907.9020378792338
Hexadecane_CBB_H2,"Hexadecane_CBB_H2",116758.22398847657,14914.371677360134,1988.5828903146903
