(S)-Methylmalonyl-CoA,Intermediate
3R-3-Hydroxypentanoyl-CoA,Intermediate
5-Acetoacetyl-CoA,Intermediate
5-methyl-Decane,Target
5-methyl-Undecane,Intermediate
6-methyl-3-Oxoheptanoyl-CoA,Intermediate
6-methyl-3-Oxononanoyl-CoA,Intermediate
6-methyl-3-Oxoundecanoyl-CoA,Intermediate
6-methyl-Heptanoyl-CoA,Intermediate
6-methyl-Nonanoyl-CoA,Intermediate
6-methyl-S-Hydroxyheptanoyl-CoA,Intermediate
6-methyl-S-Hydroxynonanoyl-CoA,Intermediate
6-methyl-S-Hydroxyundecanoyl-CoA,Intermediate
6-methyl-Undecanoyl-CoA,Intermediate
6-methyl-trans-hept-2-enoyl-CoA,Intermediate
6-methyl-trans-non-2-enoyl-CoA,Intermediate
6-methyl-trans-undec-2-enoyl-CoA,Intermediate
ADP,Input/Output
ATP,Input
Acetyl-CoA,Input/Output
CO2,Input/Output
CoA,Input/Output
H2O,Input/Output
HCO3-,Intermediate
Hplus,Input/Output
Malonyl-CoA,Intermediate
NADH,Input
NADPH,Intermediate
NADPplus,Input/Output
NADplus,Input/Output
Orthophosphate,Input/Output
Pent-2-enoyl-CoA,Intermediate
Pentanoyl-CoA,Intermediate
Propionyl-CoA,Input/Output
Oxygen,Input/Output
Formate,Intermediate
5-methyl-Undecanal,Intermediate
