,(S)-Methylmalonyl-CoA,3R-3-Hydroxypentanoyl-CoA,5-Acetoacetyl-CoA,5-methyl-Decane,5-methyl-Undecanal,6-methyl-3-Oxoheptanoyl-CoA,6-methyl-3-Oxononanoyl-CoA,6-methyl-3-Oxoundecanoyl-CoA,6-methyl-Heptanoyl-CoA,6-methyl-Nonanoyl-CoA,6-methyl-S-Hydroxyheptanoyl-CoA,6-methyl-S-Hydroxynonanoyl-CoA,6-methyl-S-Hydroxyundecanoyl-CoA,6-methyl-Undecanoyl-CoA,6-methyl-trans-hept-2-enoyl-CoA,6-methyl-trans-non-2-enoyl-CoA,6-methyl-trans-undec-2-enoyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Oxygen,Pent-2-enoyl-CoA,Pentanoyl-CoA,Propionyl-CoA,Pyruvate,
,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,
6-methyl-trans-hept-2-enoyl-CoA + NADPH + Hplus → 6-methyl-Heptanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
Malonyl-CoA + 6-methyl-Heptanoyl-CoA → CoA + CO2 + 6-methyl-3-Oxononanoyl-CoA,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,
6-methyl-3-Oxononanoyl-CoA + NADH + Hplus → 6-methyl-S-Hydroxynonanoyl-CoA + NADplus,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,,
6-methyl-S-Hydroxynonanoyl-CoA → 6-methyl-trans-non-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6-methyl-trans-non-2-enoyl-CoA + NADPH + Hplus → 6-methyl-Nonanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
Malonyl-CoA + 6-methyl-Nonanoyl-CoA → CoA + CO2 + 6-methyl-3-Oxoundecanoyl-CoA,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,
6-methyl-3-Oxoundecanoyl-CoA + NADH + Hplus → 6-methyl-S-Hydroxyundecanoyl-CoA + NADplus,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,,
6-methyl-S-Hydroxyundecanoyl-CoA → 6-methyl-trans-undec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6-methyl-trans-undec-2-enoyl-CoA + NADPH + Hplus → 6-methyl-Undecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,,
6-methyl-Undecanoyl-CoA + NADH + Hplus → CoA + 5-methyl-Undecanal + NADplus,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,,
5-methyl-Undecanal + Oxygen + 2*NADPH + 2*Hplus → 5-methyl-Decane + Formate + H2O + 2*NADPplus,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2,0,0,-2,2,0,0,-1,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,,
